Symbol	Company	Weight
MSFT	Microsoft Corporation	5.447417
AAPL	Apple Inc.	5.23108
AMZN	Amazon.com Inc.	3.97622
FB	Facebook Inc. Class A	2.133678
GOOGL	Alphabet Inc. Class A	1.661297
GOOG	Alphabet Inc. Class C	1.653864
JNJ	Johnson & Johnson	1.50712
BRK.B	Berkshire Hathaway Inc. Class B	1.437871
V	Visa Inc. Class A	1.298252
JPM	JPMorgan Chase & Co.	1.259858
PG	Procter & Gamble Company	1.138698
UNH	UnitedHealth Group Incorporated	1.114438
HD	Home Depot Inc.	1.054749
MA	Mastercard Incorporated Class A	1.050109
INTC	Intel Corporation	1.037787
VZ	Verizon Communications Inc.	0.905428
T	AT&T Inc.	0.886721
DIS	Walt Disney Company	0.848341
NVDA	NVIDIA Corporation	0.827
BAC	Bank of America Corp	0.810538
MRK	Merck & Co. Inc.	0.804835
XOM	Exxon Mobil Corporation	0.802583
PFE	Pfizer Inc.	0.770895
CSCO	Cisco Systems Inc.	0.767114
ADBE	Adobe Inc.	0.727125
CMCSA	Comcast Corporation Class A	0.72228
PEP	PepsiCo Inc.	0.713475
NFLX	Netflix Inc.	0.712407
KO	Coca-Cola Company	0.711533
PYPL	PayPal Holdings Inc	0.709162
CVX	Chevron Corporation	0.707879
WMT	Walmart Inc.	0.674745
ABT	Abbott Laboratories	0.622302
ABBV	AbbVie Inc.	0.617324
CRM	salesforce.com inc.	0.597932
MCD	McDonald's Corporation	0.560767
BMY	Bristol-Myers Squibb Company	0.544019
TMO	Thermo Fisher Scientific Inc.	0.5363
COST	Costco Wholesale Corporation	0.522144
ACN	Accenture Plc Class A	0.507098
AMGN	Amgen Inc.	0.506139
MDT	Medtronic Plc	0.501382
NKE	NIKE Inc. Class B	0.499733
LLY	Eli Lilly and Company	0.496471
NEE	NextEra Energy Inc.	0.488763
UNP	Union Pacific Corporation	0.476148
AVGO	Broadcom Inc.	0.472988
TXN	Texas Instruments Incorporated	0.458082
AMT	American Tower Corporation	0.456267
C	Citigroup Inc.	0.448606
ORCL	Oracle Corporation	0.446418
PM	Philip Morris International Inc.	0.444793
LIN	Linde plc	0.440544
IBM	International Business Machines Corporation	0.44028
WFC	Wells Fargo & Company	0.427444
HON	Honeywell International Inc.	0.422106
DHR	Danaher Corporation	0.411512
LOW	Lowe's Companies Inc.	0.39224
LMT	Lockheed Martin Corporation	0.385211
RTX	Raytheon Technologies Corporation	0.380475
QCOM	QUALCOMM Incorporated	0.369979
GILD	Gilead Sciences Inc.	0.362801
SBUX	Starbucks Corporation	0.362318
MMM	3M Company	0.357316
BA	Boeing Company	0.356907
CVS	CVS Health Corporation	0.335276
CHTR	Charter Communications Inc. Class A	0.330799
FIS	Fidelity National Information Services Inc.	0.330692
BLK	BlackRock Inc.	0.321886
SPGI	S&P Global Inc.	0.313897
INTU	Intuit Inc.	0.290761
CI	Cigna Corporation	0.289876
MO	Altria Group Inc	0.289588
MDLZ	Mondelez International Inc. Class A	0.28908
ANTM	Anthem Inc.	0.282768
